atm_count,restaurant_count,pub_count,shop_count,bus_stop_count,train_station_count,subway_station_count,park_count,burglary_density_per_km2
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,290.44166508169843
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.9314080958211
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,471.07208214831894
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.1522375007289
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.36545490375704
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,343.89595851682236
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.4619825994501
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,112.86089958231624
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.3841404313259
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.92792291454623
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.38243296059386
1.0,3.0,0.0,9.0,2.0,0.0,0.0,0.0,377.42138140349766
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.85476850894028
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.37640033607323
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.1539077920964
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,385.7353400651011
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.33756567550722
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,309.1305844025952
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,485.4726133002114
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.7979644058274
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.65172154516216
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,296.7474345036057
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.09180193106616
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0460348919893
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,528.1600198009326
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.31699872072485
0.0,2.0,0.0,17.0,1.0,0.0,0.0,0.0,218.8412278387974
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.5823586580422
